id;latitude;longitude;TSF(ha);WRP(ha);PIT(ha);TOT(ha);PROV
#2400;-67,13699976;45,16139621;0;0;41;41;NB
#2402;-67,04130379;45,8488465;20;0;0;20;NB
#2408;-65,87768215;47,08589363;0;151;0;151;NB
#2409;-66,07114002;47,27611075;334;0;0;334;NB
#2410;-65,87040423;47,4783789;704;0;0;704;NB
#2411;-66,29055759;47,5646644;0;72;0;72;NB
#2412;-66,03935576;47,6517328;0;0;28;28;NB
#2416;-66,73819344;45,95860837;0;0;52;52;NB
#2417;-64,87181589;46,16637361;0;126;45;171;NB
#2418;-64,5662781;46,05215664;0;0;66;66;NB
#3007;-95,65353434;51,03062156;135;0;0;135;MB
#2087;-95,44738377;50,43315492;0;76;0;76;MB
#2100;-101,6504587;56,6184519;367;0;0;367;MB
#2101;-101,0222236;56,84918842;4332;0;0;4332;MB
#2102;-99,63703;56,47324168;466;338;0;804;MB
#2096;-95,20608953;56,3519502;26;670;0;696;MB
#2108;-96,89220931;49,97488947;788;0;0;788;MB
#2109;-97,28037102;50,16195204;893;0;0;893;MB
#2103;-97,82937027;55,71452918;1054;605;0;1659;MB
#2104;-100,011169;54,89976848;160;0;0;160;MB
#2107;-101,224424;53,86390041;0;142;0;142;MB
#2117;-98,76715378;50,73103043;66;0;0;66;MB
#2423;-63,56081975;44,71337721;0;107;0;107;NS
#2013;-64,04961073;45,019028;0;235;76;311;NS
#2014;-63,41635789;45,01291135;0;0;206;206;NS
#2015;-63,34415149;45,02416109;75;35;25;135;NS
#2012;-64,26107333;44,60821535;0;31;0;31;NS
#2011;-65,69242686;44,10540413;342;0;63;405;NS
#2419;-63,65352693;45,84190555;0;24;0;24;NS
#2420;-64,0819802;44,97882935;0;0;141;141;NS
#2421;-63,53432103;44,73410166;0;0;120;120;NS
#2422;-63,6117909;44,74366951;0;0;160;160;NS
#2403;-61,41842528;45,63017353;0;155;0;155;NS
#2404;-61,51720206;45,4922247;0;20;0;20;NS
#2405;-61,25386351;45,88853924;0;127;0;127;NS
#2406;-60,91197549;46,00218574;0;0;177;177;NS
#2407;-63,53879198;45,55242535;91;0;0;91;NS
#2097;-95,99868731;65,07499424;148;98;59;305;NU
#2098;-96,06401158;65,02558876;320;386;0;706;NU
#2365;-111,2798582;65,72780913;535;0;0;535;NU
#3006;-105,4323276;49,22469065;0;300;256;556;SK
#2110;-105,1892365;50,43591802;493;0;0;493;SK
#2106;-102,7969001;54,63928228;0;217;0;217;SK
#2111;-106,6777557;50,4311163;3853;0;0;3853;SK
#2112;-101,9822617;49,13179405;0;33;0;33;SK
#2113;-102,8560981;49,10478718;874;3403;0;4277;SK
#2114;-101,5417025;50,46296509;595;0;0;595;SK
#2115;-101,8675466;50,66186665;435;0;0;435;SK
#2116;-101,9436646;50,7309404;554;0;0;554;SK
